name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time,z3 command
2Nested_false-termination.c.smt2,TRUE,1421,TRUE,17273,TRUE,1421,./PolyHorn experiments/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2.json,TRUE,558,TRUE,8332,TRUE,558,./PolyHorn experiments/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2.json,TRUE,3179,TRUE,131722,TRUE,3179,./PolyHorn experiments/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2 experiments/configs-h2/mathsat/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2.json,TRUE,937,FALSE,,TRUE,937,./PolyHorn experiments/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2.json,FALSE,,
2Nested_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
4NestedWith3Variables_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
aaron2_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
aaron3_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
