name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time
2Nested_false-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
2Nested_true-termination.c.smt2,TRUE,433,TRUE,392,TRUE,392,./PolyHorn experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,FALSE,,TRUE,438,TRUE,438,./PolyHorn experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,FALSE,,TRUE,636,TRUE,636,./PolyHorn experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,FALSE,,TRUE,720,TRUE,720,./PolyHorn experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,TRUE,600
4NestedWith3Variables_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
aaron2_true-termination.c.smt2,FALSE,,TRUE,838,TRUE,838,./PolyHorn experiments/benchmarks/Termination/linear/aaron2_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/aaron2_true-termination.c.smt2.json,TRUE,610,TRUE,582,TRUE,582,./PolyHorn experiments/benchmarks/Termination/linear/aaron2_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/aaron2_true-termination.c.smt2.json,TRUE,1158,TRUE,1008,TRUE,1008,./PolyHorn experiments/benchmarks/Termination/linear/aaron2_true-termination.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/aaron2_true-termination.c.smt2.json,TRUE,819,TRUE,714,TRUE,714,./PolyHorn experiments/benchmarks/Termination/linear/aaron2_true-termination.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/aaron2_true-termination.c.smt2.json,FALSE,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,TRUE,1225,FALSE,,TRUE,1225,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,167626,FALSE,,TRUE,167626,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,FALSE,
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2,FALSE,,TRUE,631,TRUE,631,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,TRUE,585,TRUE,536,TRUE,536,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,FALSE,,TRUE,3230,TRUE,3230,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,TRUE,735,TRUE,2073,TRUE,735,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,FALSE,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2,TRUE,2256,TRUE,1074,TRUE,1074,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2.json,TRUE,645,TRUE,629,TRUE,629,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2.json,FALSE,,TRUE,1099,TRUE,1099,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2.json,TRUE,760,TRUE,932,TRUE,760,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2.json,FALSE,
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2,FALSE,,TRUE,1041,TRUE,1041,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2.json,TRUE,834,TRUE,12845,TRUE,834,./PolyHorn experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2.json,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
