name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3--almost-sure-termination-union,time,z3 command
2d-robot.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
bitcoin-mining-pool.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
bitcoin-mining.smt2,TRUE,1174,TRUE,1184,TRUE,1174,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,TRUE,1182,TRUE,1215,TRUE,1182,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,TRUE,1547,TRUE,1565,TRUE,1547,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,TRUE,1593,TRUE,2102,TRUE,1593,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,FALSE,,
goods-discount.smt2,TRUE,3721,TRUE,3594,TRUE,3594,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,TRUE,4928,TRUE,4122,TRUE,4122,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,TRUE,4429,TRUE,4688,TRUE,4429,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,TRUE,5557,TRUE,5071,TRUE,5071,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h12/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,FALSE,,
nested-loop.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
pollutant-disposal.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,TRUE,160601,TRUE,161478,TRUE,160601,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,TRUE,172190,FALSE,,TRUE,172190,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,FALSE,,
queuing.smt2,TRUE,11005,TRUE,40462,TRUE,11005,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,TRUE,11036,FALSE,,TRUE,11036,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,TRUE,11531,TRUE,15649,TRUE,11531,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,TRUE,12262,FALSE,,TRUE,12262,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,FALSE,,
random-walk.smt2,TRUE,2801,TRUE,3088,TRUE,2801,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,TRUE,2908,TRUE,2849,TRUE,2849,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,TRUE,3464,TRUE,3449,TRUE,3449,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,TRUE,3581,TRUE,3955,TRUE,3581,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,FALSE,,
simple-example.smt2,TRUE,2664,TRUE,2681,TRUE,2664,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2.json,TRUE,2805,TRUE,2677,TRUE,2677,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2.json,TRUE,3132,TRUE,3144,TRUE,3132,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2.json,TRUE,3243,TRUE,4179,TRUE,3243,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/simple-example.smt2.json,FALSE,,
species-fight.smt2,TRUE,2516,TRUE,2477,TRUE,2477,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2.json,TRUE,2681,TRUE,3217,TRUE,2681,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2.json,TRUE,2932,TRUE,3918,TRUE,2932,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2.json,TRUE,3140,TRUE,6977,TRUE,3140,./PolyHorn experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/species-fight.smt2.json,FALSE,,
