name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time,z3 command
archimedes.c.smt2,TRUE,473,TRUE,425,TRUE,425,./PolyHorn experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,TRUE,385,TRUE,377,TRUE,377,./PolyHorn experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/archimedes.c.smt2.json,TRUE,389,TRUE,521,TRUE,389,./PolyHorn experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,TRUE,376,TRUE,487,TRUE,376,./PolyHorn experiments/benchmarks/polysynth/linear/archimedes.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/archimedes.c.smt2.json,TRUE,92,z3 experiments/benchmarks/polysynth/poly/archimedes.c.smt2
berkeley.c.smt2,TRUE,1214,TRUE,1126,TRUE,1126,./PolyHorn experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/berkeley.c.smt2.json,TRUE,821,TRUE,840,TRUE,821,./PolyHorn experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,TRUE,2234,TRUE,2299,TRUE,2234,./PolyHorn experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,TRUE,1220,TRUE,1423,TRUE,1220,./PolyHorn experiments/benchmarks/polysynth/linear/berkeley.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/berkeley.c.smt2.json,TRUE,5561,z3 experiments/benchmarks/polysynth/linear/berkeley.c.smt2
closest_cube_root.c.smt2,TRUE,633,TRUE,543,TRUE,543,./PolyHorn experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,TRUE,422,TRUE,476,TRUE,422,./PolyHorn experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,TRUE,644,TRUE,703,TRUE,644,./PolyHorn experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,TRUE,492,TRUE,547,TRUE,492,./PolyHorn experiments/benchmarks/polysynth/linear/closest_cube_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/closest_cube_root.c.smt2.json,FALSE,,
closest_square_root.c.smt2,TRUE,572,TRUE,425,TRUE,425,./PolyHorn experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,TRUE,347,TRUE,386,TRUE,347,./PolyHorn experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,TRUE,533,TRUE,569,TRUE,533,./PolyHorn experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,TRUE,412,TRUE,473,TRUE,412,./PolyHorn experiments/benchmarks/polysynth/linear/closest_square_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/closest_square_root.c.smt2.json,FALSE,,
cohendiv.c.smt2,TRUE,713,TRUE,725,TRUE,713,./PolyHorn experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,TRUE,490,TRUE,514,TRUE,490,./PolyHorn experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,TRUE,749,TRUE,855,TRUE,749,./PolyHorn experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,TRUE,564,TRUE,669,TRUE,564,./PolyHorn experiments/benchmarks/polysynth/linear/cohendiv.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/cohendiv.c.smt2.json,TRUE,90,z3 experiments/benchmarks/polysynth/poly/cohendiv.c.smt2
consecutive_cubes.c.smt2,TRUE,1057,TRUE,939,TRUE,939,./PolyHorn experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,TRUE,694,TRUE,722,TRUE,694,./PolyHorn experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,TRUE,1145,TRUE,1340,TRUE,1145,./PolyHorn experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,TRUE,890,TRUE,907,TRUE,890,./PolyHorn experiments/benchmarks/polysynth/linear/consecutive_cubes.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/consecutive_cubes.c.smt2.json,FALSE,,
dijkstra_ind.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
dijsktra.c.smt2,TRUE,379,TRUE,424,TRUE,379,./PolyHorn experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,TRUE,397,TRUE,379,TRUE,379,./PolyHorn experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/dijsktra.c.smt2.json,TRUE,427,TRUE,535,TRUE,427,./PolyHorn experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,TRUE,359,TRUE,453,TRUE,359,./PolyHorn experiments/benchmarks/polysynth/linear/dijsktra.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/dijsktra.c.smt2.json,TRUE,149,z3 experiments/benchmarks/polysynth/poly/dijsktra.c.smt2
euclidex1.c.smt2,TRUE,977,TRUE,845,TRUE,845,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/euclidex1.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,870,TRUE,825,TRUE,825,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex1.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/euclidex1.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,68,z3 experiments/benchmarks/polysynth/poly/euclidex1.c.smt2
euclidex2.c.smt2,TRUE,687,TRUE,582,TRUE,582,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/euclidex2.c.smt2.json,TRUE,462,TRUE,493,TRUE,462,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,TRUE,754,TRUE,908,TRUE,754,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,TRUE,575,TRUE,712,TRUE,575,./PolyHorn experiments/benchmarks/polysynth/linear/euclidex2.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/euclidex2.c.smt2.json,FALSE,,
fermat1.c.smt2,TRUE,628,TRUE,647,TRUE,628,./PolyHorn experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-base/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,TRUE,500,TRUE,543,TRUE,500,./PolyHorn experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,TRUE,800,TRUE,912,TRUE,800,./PolyHorn experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,TRUE,552,TRUE,643,TRUE,552,./PolyHorn experiments/benchmarks/polysynth/linear/fermat1.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/fermat1.c.smt2.json,TRUE,15800,z3 experiments/benchmarks/polysynth/linear/fermat1.c.smt2
fermat2_ind.c.smt2,TRUE,635,TRUE,513,TRUE,513,./PolyHorn experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,TRUE,409,TRUE,440,TRUE,409,./PolyHorn experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,TRUE,530,TRUE,607,TRUE,530,./PolyHorn experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,TRUE,448,TRUE,520,TRUE,448,./PolyHorn experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/fermat2_ind.c.smt2.json,TRUE,28487,z3 experiments/benchmarks/polysynth/linear/fermat2_ind.c.smt2
firefly.c.smt2,TRUE,2370,TRUE,2365,TRUE,2365,./PolyHorn experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,TRUE,1604,TRUE,1613,TRUE,1604,./PolyHorn experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/firefly.c.smt2.json,TRUE,5241,TRUE,5195,TRUE,5195,./PolyHorn experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,TRUE,2658,TRUE,2637,TRUE,2637,./PolyHorn experiments/benchmarks/polysynth/linear/firefly.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/firefly.c.smt2.json,TRUE,1136,z3 experiments/benchmarks/polysynth/poly/firefly.c.smt2
floor_square_root.c.smt2,TRUE,505,TRUE,452,TRUE,452,./PolyHorn experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,TRUE,346,TRUE,376,TRUE,346,./PolyHorn experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,TRUE,512,TRUE,586,TRUE,512,./PolyHorn experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h2/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,TRUE,383,TRUE,494,TRUE,383,./PolyHorn experiments/benchmarks/polysynth/linear/floor_square_root.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/floor_square_root.c.smt2.json,FALSE,,
friction.c.smt2,FALSE,,TRUE,377,TRUE,377,./PolyHorn experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/friction.c.smt2.json,FALSE,,TRUE,519,TRUE,519,./PolyHorn experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h1/z3/benchmarks/polysynth/linear/friction.c.smt2.json,FALSE,,TRUE,368,TRUE,368,./PolyHorn experiments/benchmarks/polysynth/poly/friction.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/poly/friction.c.smt2.json,FALSE,,TRUE,349,TRUE,349,./PolyHorn experiments/benchmarks/polysynth/linear/friction.c.smt2 experiments/configs-h12/z3/benchmarks/polysynth/linear/friction.c.smt2.json,TRUE,63,z3 experiments/benchmarks/polysynth/poly/friction.c.smt2
illinois.c.smt2,TRUE,2526,TRUE,2507,TRUE,2507,./PolyHorn experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-base/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,TRUE,1557,TRUE,1694,TRUE,1557,./PolyHorn experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h1/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,TRUE,5511,TRUE,5158,TRUE,5158,./PolyHorn experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h2/z3/benchmarks/polysynth/linear/illinois.c.smt2.json,TRUE,2407,TRUE,2469,TRUE,2407,./PolyHorn experiments/benchmarks/polysynth/linear/illinois.c.smt2 experiments/configs-h12/mathsat/benchmarks/polysynth/linear/illinois.c.smt2.json,TRUE,236,z3 experiments/benchmarks/polysynth/poly/illinois.c.smt2
